VDOT,Recovery,Easy,Easy,Long Run,Marathon Pace,Strength,10k,5k
29,14:22,13:32,12:41,12:16,11:27,11:17,10:30,10:04
31,13:43,12:55,12:05,11:41,10:52,10:42,9:58,9:34
33,13:02,12:16,11:28,11:05,10:18,10:08,9:27,9:04
36,12:22,11:38,10:52,10:29,9:44,9:34,8:55,8:33
38,11:42,11:00,10:15,9:53,9:09,8:59,8:24,8:03
39,11:28,10:40,10:00,9:38,8:58,8:48,8:13,7:53
40,11:15,10:34,9:51,9:29,8:46,8:36,8:03,7:43
41,11:01,10:21,9:39,9:18,8:35,8:25,7:52,7:33
43,10:48,10:08,9:27,9:06,8:23,8:13,7:42,7:23
44,10:34,9:55,9:14,8:53,8:12,8:02,7:31,7:13
45,10:19,9:41,9:02,8:42,8:01,7:51,7:21,7:03
46,10:06,9:28,8:49,8:29,7:49,7:39,7:10,6:53
47,9:53,9:16,8:38,8:18,7:38,7:28,7:00,6:43
49,9:38,9:02,8:25,8:05,7:26,7:16,6:49,6:33
50,9:25,8:49,8:13,7:54,7:15,7:05,6:39,6:23
52,9:11,8:36,8:01,7:42,7:03,6:53,6:28,6:12
54,8:57,8:23,7:48,7:29,6:52,6:42,6:18,6:02
55,8:43,8:10,7:36,7:17,6:40,6:30,6:07,5:52
57,8:28,7:56,7:23,7:05,6:29,6:19,5:57,5:42
59,8:15,7:43,7:11,6:53,6:18,6:08,5:46,5:32
61,8:00,7:30,6:58,6:41,6:06,5:56,5:36,5:22
64,7:46,7:17,6:46,6:29,5:55,5:45,5:25,5:12
66,7:32,7:03,6:34,6:17,5:43,5:33,5:15,5:02
69,7:18,6:50,6:21,6:05,5:32,5:22,5:04,4:52
72,7:03,6:36,6:08,5:52,5:20,5:10,4:54,4:42
75,6:49,6:23,5:56,5:40,5:09,4:59,4:43,4:32
78,6:35,6:09,5:43,5:28,4:57,4:47,4:33,4:22
