VDOT,Easy/Long,Easy/Long,Marathon,Tempo,Interval,Repetition
30,12:00,13:16,11:21,10:18,9:31,8:59
31,11:41,12:57,11:02,10:02,9:15,8:43
32,11:24,12:39,10:44,9:47,8:59,8:27
33,11:07,12:21,10:27,9:33,8:47,8:11
34,10:52,12:05,10:11,9:20,8:35,8:03
35,10:37,11:49,9:56,9:07,8:23,7:47
36,10:23,11:34,9:41,8:55,8:11,7:39
37,10:09,11:20,9:28,8:44,7:59,7:23
38,9:56,11:06,9:15,8:33,7:47,7:14
39,9:44,10:53,9:02,8:22,7:39,7:06
40,9:32,10:41,8:50,8:12,7:31,6:58
41,9:21,10:28,8:39,8:02,7:23,6:50
42,9:10,10:17,8:28,7:52,7:14,6:42
43,9:00,10:05,8:17,7:42,7:06,6:34
44,8:50,9:55,8:07,7:33,6:58,6:26
45,8:40,9:44,7:58,7:25,6:50,6:18
46,8:31,9:34,7:49,7:17,6:42,6:10
47,8:22,9:25,7:40,7:09,6:34,6:02
48,8:13,9:15,7:32,7:02,6:26,5:54
49,8:05,9:06,7:24,6:56,6:22,5:54
50,7:57,8:58,7:17,6:50,6:14,5:46
51,7:49,8:49,7:09,6:44,6:10,5:46
52,7:42,8:41,7:02,6:38,6:06,5:38
53,7:35,8:33,6:56,6:32,6:02,5:38
54,7:28,8:26,6:49,6:26,5:54,5:30
55,7:21,8:18,6:43,6:20,5:50,5:22
56,7:15,8:11,6:37,6:15,5:46,5:22
57,7:08,8:04,6:31,6:09,5:42,5:13
58,7:02,7:58,6:25,6:04,5:34,5:06
59,6:56,7:51,6:19,5:59,5:30,5:06
60,6:50,7:45,6:14,5:54,5:26,4:58
61,6:45,7:39,6:09,5:50,5:22,4:58
62,6:39,7:33,6:04,5:45,5:18,4:50
63,6:34,7:27,5:59,5:41,,
64,6:29,7:21,5:54,5:36,,
65,6:24,7:16,5:49,5:32,,
66,6:19,7:10,5:45,5:28,,
67,6:15,7:05,5:40,5:24,,
68,6:10,7:00,5:36,5:20,,
69,6:06,6:55,5:32,5:16,,
70,6:01,6:50,5:28,5:13,,
71,5:57,6:46,5:24,5:09,,
72,5:53,6:41,5:20,5:05,,
73,5:49,6:37,5:16,5:02,,
74,5:45,6:32,5:12,4:59,,
75,5:41,6:28,5:09,4:56,,
76,5:38,6:24,5:05,4:52,,
77,5:34,6:20,5:02,4:49,,
78,5:30,6:16,4:58,4:46,,
79,5:27,6:12,4:55,4:43,,
80,5:24,6:08,4:52,4:41,,
81,5:20,6:04,4:49,4:38,,
82,5:17,6:01,4:46,4:35,,
83,5:14,5:57,4:43,4:32,,
84,5:11,5:54,4:40,4:30,,
85,5:08,5:50,4:37,4:27,,
