VDOT,Long Run,Long Run,Long Run (km),Long Run (km),Lactate Threshold +-5s,Lactate Threshold +-3s (km),VO2 (400m),Speed (300m),Speed (200m)
75,6:14,5:37,3:52,3:30,4:45,2:57,65-67,44-47,29-31
72,6:27,5:49,4:01,3:37,4:55,3:03,67-70,45-48,30-32
70,6:41,6:02,4:09,3:45,5:05,3:10,69-72,47-50,31-33
67,6:54,6:14,4:17,3:52,5:16,3:16,72-74,48-52,32-35
65,7:07,6:26,4:26,4:00,5:25,3:22,74-77,50-54,33-36
62,7:21,6:38,4:34,4:07,5:35,3:28,76-79,51-55,34-37
60,7:34,6:50,4:42,4:15,5:45,3:35,78-82,53-57,35-38
58,7:47,7:02,4:50,4:22,5:56,3:41,81-84,54-59,36-39
56,8:01,7:14,4:59,4:30,6:05,3:47,83-86,56-60,37-40
55,8:14,7:26,5:07,4:37,6:15,3:53,85-89,58-62,38-41
53,8:28,7:38,5:15,4:45,6:26,4:00,88-91,59-64,39-42
51,8:41,7:50,5:24,4:52,6:36,4:06,90-94,61-65,40-43
50,8:54,8:02,5:32,5:00,6:46,4:12,92-96,62-67,41-45
48,9:08,8:14,5:40,5:07,6:56,4:19,95-98,64-69,43-46
47,9:21,8:26,5:49,5:15,7:07,4:25,97-1:41,65-70,44-47
46,9:34,8:38,5:57,5:22,7:17,4:32,99-1:43,67-72,45-48
45,9:48,8:50,6:05,5:30,7:27,4:38,1:41-1:46,68-74,46-49
43,10:01,9:02,6:13,5:37,7:37,4:44,1:44-1:48,70-75,47-50
42,10:14,9:14,6:22,5:44,7:48,4:51,1:46-1:50,72-77,48-51
41,10:28,9:26,6:30,5:52,7:58,4:57,1:48-1:53,73-79,49-52
40,10:41,9:38,6:38,5:59,8:08,5:03,1:51-1:55,75-80,50-54
39,10:54,9:50,6:47,6:07,8:19,5:10,1:53-1:58,76-82,51-55
38,11:08,10:03,6:55,6:14,8:29,5:16,1:55-2:00,78-84,52-56
37,11:35,10:27,7:12,6:29,8:49,5:29,2:00-2:05,81-87,54-58
35,12:01,10:51,7:28,6:44,9:10,5:42,2:05-2:10,84-90,56-60
34,12:28,11:15,7:45,6:59,9:30,5:55,2:09-2:14,87-94,58-62
32,12:55,11:39,8:01,7:14,9:51,6:07,2:14-2:19,90-97,60-65
31,13:21,12:03,8:18,7:29,10:12,6:20,2:18-2:24,93-1:40,62-67
